rt_name,struct_n_residues,struct_yxdd_radius_gyration,struct_yxdd_helix_packing,struct_catalytic_pocket_volume,struct_aromatic_contacts_catalytic,struct_charged_contacts_catalytic,struct_hydrophobic_contacts_catalytic,struct_palm_thumb_distance,struct_mean_bfactor_catalytic,struct_yxdd_to_nterm_dist,struct_yxdd_to_cterm_dist,struct_local_density_catalytic
Er-RT,426,2.9222795963287354,21.0,7554.48486328125,2.0,3.0,3.0,40.88018798828125,0.8916666666666667,29.794973373413086,24.34975242614746,9.0
FENV1-RT,667,2.9333271980285645,21.0,5882.9736328125,1.0,4.0,4.0,73.60734558105469,0.9745945945945944,20.574716567993164,56.64692306518555,9.0
FoxC-RT,526,2.936412811279297,22.0,7997.28955078125,2.0,4.0,3.0,48.78570556640625,0.8528947368421052,45.39708709716797,52.185760498046875,9.0
FuRT-Cas1-RT,240,,,,,,,,,,,
GALV-RT,678,2.9262943267822266,20.0,8673.744140625,1.0,4.0,4.0,71.69677734375,0.9591666666666667,20.079362869262695,69.59249114990234,9.0
Gate-RT,523,2.906248092651367,20.0,6694.21533203125,1.0,3.0,5.0,34.706085205078125,0.9124242424242425,35.08257293701172,48.21662902832031,8.0
GroupII_CLA-RT,306,2.9671881198883057,19.0,8120.15087890625,3.0,4.0,5.0,14.036197662353516,0.9457142857142857,45.65574645996094,12.016254425048828,11.0
Gs-RT,419,2.9212119579315186,20.0,7363.1142578125,1.0,3.0,2.0,40.24897766113281,0.9043243243243242,32.251426696777344,28.27501106262207,7.0
Gypsy-RT,469,2.9454240798950195,21.0,7015.94921875,1.0,2.0,4.0,24.423858642578125,0.9574285714285714,16.154172897338867,22.567777633666992,7.0
HIVpol+MMLVRNaseH_RT,625,2.9800143241882324,17.0,7437.86962890625,1.0,3.0,5.0,60.61178207397461,0.9009677419354839,19.706762313842773,77.38224029541016,11.0
IPMA-RT,573,2.954007387161255,19.0,7045.42724609375,1.0,3.0,5.0,63.93928909301758,0.9323529411764708,21.781553268432617,77.99154663085938,10.0
KORV-RT,678,2.9310901165008545,20.0,8953.478515625,1.0,4.0,4.0,75.36829376220703,0.9736111111111112,37.20600128173828,87.16083526611328,9.0
Line1-RT,824,2.9314193725585938,22.0,7095.34033203125,1.0,2.0,4.0,37.16779327392578,0.964473684210526,49.2707405090332,39.383644104003906,8.0
LtrA-RT,598,2.959864616394043,22.0,7973.20751953125,3.0,5.0,3.0,36.326934814453125,0.9316666666666666,34.05126190185547,43.78096008300781,10.0
MMLV-RT,677,2.8962621688842773,20.0,7885.34619140625,1.0,4.0,4.0,74.4111328125,0.8945945945945947,20.55673599243164,90.88113403320312,9.0
MMTV-RT,604,2.9624106884002686,21.0,6561.72265625,2.0,4.0,4.0,56.008331298828125,0.9158333333333333,36.38761520385742,65.43453216552734,9.0
MPMV-RT,641,2.948246955871582,18.0,7462.5068359375,2.0,4.0,5.0,61.697837829589844,0.9251428571428573,34.697261810302734,73.7153091430664,11.0
Med-CasRT,311,2.96286940574646,21.0,6786.88330078125,2.0,3.0,3.0,10.001604080200195,0.9294736842105263,56.047630310058594,26.61747932434082,7.0
Mx65-RT,426,2.9516518115997314,21.0,7031.22998046875,1.0,4.0,5.0,29.902299880981445,0.9624999999999999,29.869821548461914,48.63821029663086,10.0
Ne144-RT,513,2.9555325508117676,21.0,8193.67578125,1.0,4.0,4.0,11.825407028198242,0.9727027027027025,84.93313598632812,34.13114929199219,9.0
Ngaro-RT,459,,,,,,,,,,,
PERV-RT,667,2.9105653762817383,21.0,7015.6142578125,1.0,4.0,4.0,73.1640853881836,0.8989473684210525,24.317651748657227,82.70413970947266,9.0
POL11ERV-RT,571,2.9412894248962402,19.0,8784.8623046875,2.0,4.0,5.0,64.74896240234375,0.7308108108108109,25.662885665893555,74.59442138671875,10.0
ROSE-CRISPR-RT,446,2.979813575744629,20.0,7682.01416015625,2.0,4.0,4.0,21.989459991455078,0.9637837837837837,22.967370986938477,46.6906623840332,9.0
RSVSB-RT,626,2.9757864475250244,19.0,6339.51220703125,2.0,4.0,4.0,60.49052047729492,0.9238235294117647,44.30335235595703,63.350364685058594,10.0
Retron86-RT,319,2.9423744678497314,21.0,6180.2978515625,1.0,4.0,4.0,30.76837921142578,0.9654285714285714,41.06355285644531,39.08488082885742,10.0
Rs-RT,292,2.968834161758423,21.0,5623.6279296875,2.0,3.0,4.0,13.14028549194336,0.9799999999999998,26.503442764282227,36.57783126831055,7.0
SEN1-RT,310,2.919907808303833,18.0,6093.24658203125,2.0,4.0,6.0,29.860645294189453,0.9296875,30.950092315673828,35.662818908691406,10.0
SRV2-RT,641,2.9472274780273438,19.0,6909.87744140625,2.0,4.0,5.0,64.2029037475586,0.9334285714285715,34.27870559692383,79.52466583251953,10.0
Sau1-RT,479,2.9561376571655273,21.0,7107.51611328125,1.0,4.0,4.0,28.30601692199707,0.9808571428571428,38.3158073425293,42.33658218383789,9.0
TCDM_11122-RT,608,2.9376330375671387,22.0,7639.171875,2.0,2.0,6.0,46.18648910522461,0.9602941176470587,40.524757385253906,54.189449310302734,9.0
Tel4c-RT,561,2.942279815673828,22.0,7712.80029296875,3.0,3.0,4.0,44.57243347167969,0.9277777777777777,45.04987716674805,53.37925338745117,9.0
Tf1-RT,505,2.9552202224731445,20.0,8400.265625,1.0,2.0,3.0,33.36564636230469,0.963142857142857,55.592674255371094,13.900888442993164,7.0
Thr-RT,604,2.9743611812591553,22.0,6602.447265625,1.0,3.0,4.0,36.90581512451172,0.8773684210526317,35.83771514892578,31.46013641357422,8.0
Ty1B-RT,653,2.8848023414611816,22.0,5767.796875,1.0,3.0,5.0,34.02815628051758,0.9465625,47.444175720214844,29.50741195678711,9.0
Ty3-RT,478,2.9532723426818848,20.0,5039.6748046875,1.0,2.0,6.0,39.15189743041992,0.9787878787878787,35.243045806884766,42.71226501464844,8.0
Tyrosinerecomb-RT,607,2.948460578918457,21.0,8321.3203125,1.0,3.0,5.0,57.030792236328125,0.9673529411764706,36.39277267456055,51.307621002197266,8.0
Vc95-RT,314,2.9351882934570312,19.0,6583.0751953125,1.0,4.0,4.0,29.861833572387695,0.939090909090909,30.560697555541992,37.24134826660156,9.0
Vp96-RT,312,2.929729700088501,19.0,6536.30029296875,1.0,4.0,6.0,30.361764907836914,0.9341176470588235,32.73912048339844,38.45221710205078,10.0
WDSV-RT,684,2.9501359462738037,20.0,6570.2919921875,1.0,3.0,5.0,72.81717681884766,0.9623529411764705,40.324771881103516,61.40943145751953,9.0
WMSV-RT,672,2.922388792037964,20.0,6216.62744140625,1.0,4.0,4.0,73.7366714477539,0.9502777777777776,20.2429256439209,88.70800018310547,9.0
"retronE,coli-RT",333,2.9575705528259277,21.0,6079.22412109375,1.0,4.0,4.0,30.84470558166504,0.9857142857142858,56.04240036010742,41.71180725097656,10.0
